GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
17031837000,2042,631.4494631,25.00466463,129,1716,163
17031837100,1652,643.2933778,34.4678248,202,1165,204
17031837300,2489,699.1698543,14.54160974,111,2176,171
17031837400,1990,664.5915337,26.27396543,150,1558,223
17031837800,2837,922.2463868,62.46618229,444,1902,276
17031838000,2651,917.1349562,68.00376725,470,1698,253
17031838100,1821,557.284608,62.98477169,536,979,141
17031838200,1675,444.6566075,47.70381933,475,247,272
17031838300,2580,766.7581606,184.9021873,1309,786,195
17031838600,1518,382.0152866,12.68789009,67,1328,114
17031838700,4132,1199.990641,32.92699407,25,3766,290
17031838800,3102,795.4543979,51.9833484,102,1640,1316
17031839000,10435,3554.467349,600.7724762,5938,1170,918
17031839100,8234,2020.934412,490.7941082,4358,995,765
17031839200,2749,888.9167045,73.03150742,288,1779,104
17031839500,1590,439.4132752,41.00972511,220,1169,79
17031839600,1729,756.3790576,21.86954203,87,1503,74
17031839700,4545,1168.566817,325.1807761,1730,161,1449
17031839800,2686,672.0727366,238.6226488,1029,36,538
17031839900,4431,1300.504261,545.7447452,2127,142,1050
17031840000,3001,747.2797704,348.0380461,1060,47,548
17031840100,3029,429.9654298,158.2361378,641,43,306
17031840200,2497,280.9582268,96.78306,401,63,397
17031840300,4196,812.0974767,185.96032,446,93,2284
17031840400,3369,508.7189391,138.4571237,489,46,1396
17031840700,3900,418.7101801,82.45144843,294,159,3371
17031840800,3332,460.8138219,42.61634129,61,12,3238
17031841000,1136,308.0748533,48.22394216,278,536,94
17031841100,7356,942.8794436,266.8691211,338,292,203
17031841200,4873,1249.150443,97.74486504,779,267,3653
17031841300,4173,1124.071786,129.7814777,690,156,3167
17031841500,2904,818.0135915,30.66690171,46,2652,165
17031841700,1509,408.8354681,25.59500936,115,658,707
17031841800,2404,551.3182978,20.30899355,8,2269,67
17031841900,6500,1536.126811,332.3158825,2454,1004,968
17031842000,2590,484.7941018,44.39204851,672,1129,200
17031842100,6650,1643.985065,99.61698794,202,2707,3702
17031842200,4212,1511.282007,389.2299213,2376,969,279
17031842300,3529,1434.266876,401.3733619,2235,453,413
17031842400,3041,1445.263691,36.35156012,16,2920,53
17031842500,2644,509.3220661,11.16232706,0,2559,62
17031842600,4245,849.2553753,503.1025233,1780,232,1493
17031842800,7637,1009.752029,137.2162486,369,59,6910
17031842900,2480,870.2349847,49.62785561,356,1650,356
17031843000,2880,870.5848932,23.04900487,16,2696,140
17031843100,1747,496.4081602,18.63714363,137,1440,136
17031843200,2422,625.4491371,81.84013783,392,115,1827
17031843300,1572,409.5039368,14.85354332,96,1048,384
17031843400,1524,425.6315792,11.60690792,29,925,553
17031843500,6030,538.8430531,80.56932134,503,3677,1782
17031843600,3089,829.9378969,95.02391384,99,2742,141
17031843700,2544,889.3042343,211.0144887,1569,95,483
17031843800,2000,489.9700474,101.3228008,389,744,695
17031843900,3666,1241.947276,48.36299996,228,3177,99
17031844600,1776,496.2085482,30.99059796,48,1647,48
17031844700,2342,676.9357956,23.19855049,68,1821,414
17031980000,0,0,0,0,0,0
17031980100,18,3.92396188,1.18699745,3,3,6
17033880100,2656,298.7586565,798.3324572,2566,14,28
17033880200,3491,375.8458167,1116.493549,3305,39,31
17033880300,3338,432.9331228,911.1079963,3039,39,115
17033880400,2870,384.2946909,749.7046809,2589,37,74
17033880500,3414,405.5463004,889.4054874,2672,487,177
17033880600,2910,304.514353,996.6099944,2770,5,22
17035972400,2913,288.3127153,813.7836674,2738,13,36
17035972500,3356,360.614154,1072.154272,3221,3,25
17035972600,4181,389.7639512,1562.28066,3988,12,51
17037000100,6737,1121.843117,1598.613682,5297,51,1081
17037000200,4513,674.7406381,1113.152797,3873,27,407
17037000300,2520,418.530737,707.2234154,2110,49,240
17037000401,3975,893.1058407,924.7486642,3433,53,236
17037000402,5184,995.6359079,1416.567668,4445,64,310
17037000500,4070,855.1255745,705.7383292,2904,236,684
17037000600,5919,1483.194565,1258.104784,4856,184,502
17037000700,3694,925.6346907,894.0219258,3049,152,277
17037000800,6635,1595.927086,1093.084002,4320,515,1425
