Unit 1,Unit 2,Shared perim (meters)
17143003101,17143003104,1618.058386
17143003101,17143003900,1814.36955
17143003000,17143002900,1616.532284
17143003000,17143003104,1865.87018
17143003000,17143003200,0
17143003000,17143003103,1673.545445
17097861505,17097861508,2075.224265
17097861505,17097861604,3188.246037
17097861505,17097861506,3479.287711
17097861505,17097866000,825.3345194
17097865801,17031801500,1264.047861
17097865801,17097865802,3250.933195
17097865801,17097865700,3819.749972
17097865801,17097865400,1218.139915
17097865801,17097864700,809.5249362
17061973900,17061973800,5860.932789
17061973900,17061973600,7418.526932
17061973800,17083010402,39143.07487
17061973800,17083010401,644.6262442
17061973800,17013951200,32450.61544
17061973800,17061973600,22044.96951
17061973800,17149952800,14683.26591
17061973800,17171970700,13511.56994
17061973700,17061973600,15299.05208
17061973600,17083010401,0
17061973600,17117956500,9375.469234
17061973600,17117956200,19435.56809
17061973600,17171970700,10520.7816
17061973600,17137952200,12750.82937
17021958900,17021958800,3986.202423
17021958900,17021958700,9190.239911
17083010300,17119402722,3932.435736
17083010300,17119402701,0
17083010300,17119402721,8117.170792
17083010300,17083010402,6852.526775
17083010300,17083010401,10368.57495
17029000702,17029000701,817.1430766
17029000701,17029000600,7036.71834
17029000701,17029000100,2419.706345
17031804203,17031804701,3276.991924
17031804203,17031804312,0
17031804203,17031804202,4831.43121
17031804203,17031804204,8460.367094
17031806006,17031806005,808.014074
17031806006,17031806002,811.1426225
17031806006,17031806004,808.6775296
17031806006,17031806001,798.7731561
17031803616,17031803603,1205.723549
17031803616,17031803604,1871.332325
17031803616,17031803615,1997.891477
17031803616,17031803608,1906.274979
17031803614,17031803017,1440.255523
17031803614,17031803605,852.2024757
17031803614,17031803005,1080.93124
17031803614,17031803613,1421.465083
17031803614,17031803608,0
17031803614,17031803012,0
17031330101,17031841000,1995.100548
17031330101,17031330103,901.6660274
17031330101,17031330102,1210.9871
17031330101,17031320600,1525.887535
17031330102,17031330103,594.7596397
17031330102,17031330200,747.7142976
